X,Y,Z,r,theta,phi,E_r,E_t,H_p
0.0,0.0,1.0,1.0,0.0,0.0,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.017453292519943295,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.03490658503988659,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.05235987755982989,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.06981317007977318,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.08726646259971647,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.10471975511965978,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.12217304763960307,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.13962634015954636,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.15707963267948966,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.17453292519943295,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.19198621771937624,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.20943951023931956,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.22689280275926285,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.24434609527920614,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.2617993877991494,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.2792526803190927,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.29670597283903605,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.3141592653589793,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.33161255787892263,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.3490658503988659,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.3665191429188092,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.3839724354387525,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.4014257279586958,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.4188790204786391,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.4363323129985824,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.4537856055185257,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.47123889803846897,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.4886921905584123,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.5061454830783556,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.5235987755982988,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.5410520681182421,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.5585053606381855,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
0.0,0.0,1.0,1.0,0.0,0.5759586531581288,0j,(-0.06761997180765021-0.24444078199000277j),(-0.00019618025922595763-0.0007094277059288769j)
